ndc_clean,shape,colors,imprint,size_mm
00093406952,CAPSULE,BLUE,93;4069;93;4069,22
00093406852,CAPSULE,PINK,93;4068;93;4068,18
00378110101,CAPSULE,"GREEN, BROWN",MYLAN;1101;MYLAN;1101,18
62037055901,CAPSULE,WHITE,Andrx;559,23
62037056005,CAPSULE,BLUE,Andrx;560,25
00054010829,CAPSULE,RED,54;145;54;145,15
16252057250,CAPSULE,"RED, WHITE",RP;5,14
68180059102,CAPSULE,BLUE,LUPIN;RAMIPRIL;10mg,14
16252057350,CAPSULE,"BLUE, WHITE",RP;10,14
00781285560,CAPSULE,BROWN,GG;614;GG;614,16
16252056960,CAPSULE,WHITE,25;Ti,19
00172240780,CAPSULE,"BLACK, YELLOW",Z;2407;Z;2407,23
59746038606,CAPSULE,GREEN,TL;386;TL;386,16
00781205401,CAPSULE,TURQUOISE,GG;624;GG;624,16
00378157001,CAPSULE,PURPLE,MYLAN;1570;MYLAN;1570,16
00172241680,CAPSULE,"ORANGE, YELLOW",Z;2416;Z;2416,19
59746038506,CAPSULE,ORANGE,TL;385;TL;385,16
00781205101,CAPSULE,WHITE,GG;621;GG;621,16
67253070006,CAPSULE,WHITE,S;700,16
62756014786,CAPSULE,ORANGE,147;147,18
62756014686,CAPSULE,ORANGE,146;146,18
00527131501,CAPSULE,RED,LANNETT;1315,19
00527139330,CAPSULE,RED,LANNETT;1393,18
55111015810,CAPSULE,"GRAY, PURPLE",OMEPRAZOLE;20;mg;R;158,18
00378615010,CAPSULE,"GREEN, TURQUOISE",MYLAN;6150;MYLAN;6150,18
62756025902,CAPSULE,"WHITE, GRAY",259;259,16
64679094501,CAPSULE,WHITE,W945,14
64679094601,CAPSULE,"WHITE, GRAY",W946,16
00591288601,CAPSULE,"PURPLE, YELLOW",60274;360;mg,23
62175048637,CAPSULE,"PINK, PINK",KU;486;200;mg,22
62175048537,CAPSULE,"WHITE, PURPLE",KU;485;100;mg,18
62175048737,CAPSULE,"PURPLE, PINK",KU;487;300;mg,23
00378620101,CAPSULE,"RED, WHITE",MYLAN;6201;MYLAN;6201,18
00591288201,CAPSULE,"GRAY, YELLOW",60274;180;mg,20
00591288401,CAPSULE,"BLUE, YELLOW",60274;240;mg,22
00093738656,CAPSULE,ORANGE,93;7386;93;7386,24
00076011101,CAPSULE,PURPLE,S;111,19
00591315901,CAPSULE,WHITE,WATSON;3159,22
00781202005,CAPSULE,YELLOW,AMOX;250;GG;848,18
68382026101,CAPSULE,"ORANGE, WHITE",EP;107,25
00032122407,CAPSULE,"ORANGE, WHITE",CREON;1224,22
00002327030,CAPSULE,"BLUE, YELLOW",Lilly;3270;60;mg,19
00002324030,CAPSULE,"BLUE, WHITE",Lilly;3240;30;mg,16
00007337313,CAPSULE,WHITE,GSK;COREG;CR;80;mg,21
00555003302,CAPSULE,"BLACK, GREEN",barr;033,14
00555015904,CAPSULE,"GREEN, WHITE",barr;159,15
64376080801,CAPSULE,GREEN,SP153,14
00555015802,CAPSULE,"GREEN, YELLOW",barr;158,14
61442016101,CAPSULE,"GREEN, WHITE",CCC;250;CCC;250,18
64455079942,CAPSULE,"BLUE, WHITE",cardizem;CD;360;mg,23
00004025901,CAPSULE,"BLUE, ORANGE",CellCept;250;Roche,19
68180071160,CAPSULE,"TURQUOISE, PURPLE",LUPIN;CEFDINIR,22
64455079642,CAPSULE,"BLUE, TURQUOISE",cardizem;CD;180;mg,22
00591322001,CAPSULE,"BLUE, WHITE",WATSON;3220,22
29033002012,CAPSULE,YELLOW,NC;200,19
29033000412,CAPSULE,PURPLE,NC;300,21
00071374066,CAPSULE,"WHITE, PINK",DILANTIN;30;mg,14
00071036924,CAPSULE,"ORANGE, WHITE",DILANTIN;100;mg,16
00091092001,CAPSULE,"PINK, WHITE",SCHWARZ;0920,18
67253014150,CAPSULE,"RED, PINK",WC;731;WC;731,24
66424002110,CAPSULE,"PINK, RED",PH013;PH013,14
62037059805,CAPSULE,"YELLOW, ORANGE",Andrx;598;180;mg,22
00258369190,CAPSULE,GREEN,360;360,22
00002323560,CAPSULE,GREEN,Lilly;3235;20;mg,14
50458009801,CAPSULE,WHITE,BNP;7600;BNP;7600,18
00008083622,CAPSULE,RED,W;EffexorXR;150,23
00008083321,CAPSULE,ORANGE,W;EffexorXR;75,20
00008083722,CAPSULE,"ORANGE, GRAY",W;Effexor;XR;37.5,16
65197000201,CAPSULE,RED,DYRENIUM;50;mg;DYRENIUM;WPC;002,14
00591553550,CAPSULE,"TURQUOISE, WHITE",DAN;5535;DAN;5535,18
00603333921,CAPSULE,"PINK, WHITE",20,14
00093031101,CAPSULE,"BROWN, ORANGE",TEVA;0311,14
00078037905,CAPSULE,BLUE,LOTREL;0379,19
00078038405,CAPSULE,BLUE,LOTREL;0384,19
00078040605,CAPSULE,PINK,LOTREL;2265,19
16110007501,CAPSULE,"BROWN, WHITE",MONODOX;75;M;075,18
00013530117,CAPSULE,RED,MYCOBUTIN;Pharmacia;Upjohn,22
00071101668,CAPSULE,WHITE,Pfizer;PGN;150,18
